CLUB NAME,CLUB DESCRIPTIONS,CLUB INSTAGRAM,CLUB EMAIL,CLUB WEBSITE
"Academic, Mentorship, and Professional Development Project, The","AMPD provides MSA UCLA members services and resources to become stronger Muslim leaders in the academic and professional spheres through free textbook loans and study notes, peer and alumni mentorships, pre-professional workshops and internships. Our peer mentorship program pairs incoming students with the upperclassmen and guides them through the Muslim college student experience. Students are further guided towards the profession they are interested in through internships, pre-professional workshops and an annual networking event.",https://www.instagram.com/ampducla/,ampdacademics@gmail.com, 
Academy Health Student Chapter at UCLA,"In partnership with the health services research community, we strive to:

Provide peer support by: 
- Creating opportunities for interaction among peers
- Reaching out and connecting with other departments and academic groups sharing common interests and goals
- Offering peer mentorship

Promote academic and professional development by:
- Exposing members to the field of Health Services 
- Helping students disseminate their research 
- Increasing interaction and facilitating dialogue with health services researchers
- Advocating for training, mentorship and post-graduate placement

Advance the field of Health Services by:
- Encouraging interdisciplinary collaboration
- Incorporating new research tools
- Advocating innovative areas of contribution from student researchers", ,uclaacademyhealth@gmail.com,http://www.studentgroups.ucla.edu/academyhealth
AI Robotics Ethics Society ,"As technology advances at an exponential rate, it is imperative that we begin thinking about how Artificial Intelligence (AI) will impact society at different levels of daily life, with a focus on the ethical implications and implementation of AI systems.

Notably, the development and involvement in AI ethics by students and professionals is nascent. The foresight of how important it is to regulate AI through the lens of ethical discussion and implementation is of paramount significance within the setting of the rapid development of AI and how it has already permeated of our daily lives.

As such, the AI Robotics Ethics Society was founded in 2018 at UCLA by Aaron Hui to promote the awareness and importance of ethical implementation",https://www.instagram.com/airesucla/,airesucla@gmail.com,https://airesucla8.wixsite.com/mysite
Aleph: Undergraduate Research Journal for the Humanities and Social Sciences,"Aleph (pronounced “ah-lef”) is UCLA’s only official journal publishing undergraduate research in the humanities, social sciences, and behavioral sciences. Run by undergraduates who review submissions, Aleph publishes select submissions on-line, and in an annual “best of” print journal, with the support of our sponsor, the UCLA Undergraduate Research Center. Our goal is to disseminate a diverse group of papers that reflects the quality and breadth of undergraduate research at UCLA. Aleph offers an opportunity for motivated UCLA undergraduates to have their academic work published online and in print. By making UCLA’s undergraduate research available to a larger audience, we hope to broaden the impact and appeal of undergraduate research. As a student-run journal, Aleph provides all UCLA undergraduates the chance to join its staff and gain volunteer experience in publicizing, editing, and publishing.",https://instagram.com/aleph_ucla?igshid=NTc4MTIwNjQ2YQ==,alephjournal@ucla.edu,http://aleph.humanities.ucla.edu/
"Alpha Chi Sigma, Beta Gamma Chapter","We are a professional and social fraternity for men and women in the chemical sciences. All members are bound by three fraternal objects:

To bind its members with a tie of true and lasting friendship.
To strive for the advancement of chemistry both as a science and as a profession.
To aid its members by every honorable means in the attainment of their ambitions as chemists throughout their mortal lives.

We are a very active chapter at the University of California, Los Angeles partaking in various academic, philanthropic, and social events. We encourage all students interested in science (not just in the field of chemistry) to explore what our fraternity has to offer and consider pledging Alpha Chi Sigma.",https://www.instagram.com/uclaaxs/?hl=en,axs.betagamma@gmail.com,http://www.chem.ucla.edu/axe/about.html
Alpha Lambda Delta Phi Eta Sigma,"The ALD|PES Honor Societies exist to promote academic integrity, excellence and community among students. Furthermore, ALD|PES strives to encourage community service and support philanthropic events and groups. Members of ALD|PES strive to foster social connections amongst purpose driven students who desire academic and professional excellence.",https://www.instagram.com/uclaaldpes/,aldpes.president@gmail.com,http://uclaaldpes.com
American Association of Neurological Surgeons,DGSOM Medical Student Chapter of the American Association of Neurological Surgeons (AANS). Focused on promoting students' interest in pursuing a career in neurological surgery., ,aans.dgsom@gmail.com, 
American Institute of Chemical Engineers,"The American Institute of Chemical Engineers (AIChE) is a professional organization for chemical engineers. AIChE was established in 1908 with the purpose of establishing chemical engineers as a profession independent from chemists and mechanical engineers.

The mission of the AIChE student chapter at UCLA is to promote excellence in the Chemical Engineering Department of the School of Engineering and Applied Science by providing resources and support to the undergraduate students so that they can succeed academically and advance professionally.

AIChE's vision is to provide value as the global leader of the chemical engineering profession and be the lifetime center for professional and personal growth.

In 1908 a small group of chemical engineers formed a professional society to promote and improve chemical engineering as a discipline. At first, the American Institute of Chemical Engineers (AIChE) met with strong resistance, especially from the American Chemical Society (ACS), which claimed control over all pure and applied chemistry in the United States. In response, AIChE adopted a number of conservative measures, including strict membership criteria to keep membership low and avoid competition with ACS. Nonetheless, the value of AIChE was realized by the entire discipline in 1925, when chemical engineering became the first profession to use scholastic accreditation to ensure the consistency and quality of academic chemical engineering courses. The conservative attitude paid off when peace was made between ACS and AIChE around 1930. The membership criteria were lifted and chemical engineers joined in droves.

Today AIChE remains the principal chemical engineering professional society in the United States. Currently about 57,000 (~70%) of American chemical engineers are members.",https://www.instagram.com/aicheatucla/,aiche@ucla.edu,http://aiche.seas.ucla.edu/
American Lung Cancer Screening Initiative,"Here at the American Lung Cancer Screening Initiative, it is our mission to spread awareness about the importance of lung cancer screening for high-risk individuals.",https://www.instagram.com/amlungcsi/,uclaalcsi@gmail.com,https://www.alcsi.org/screening
American Medical Student Association (AMSA),"The American Medical Student Association, Premedical Chapter at UCLA, is committed to improving health care and healthcare delivery to all people; involving its members in the social, moral and ethical obligations of the profession of medicine; assisting in the improvement and understanding of world health problems; actively supplementing premedical education with a broader perspective and understanding of their chosen profession; contributing to the welfare of premedical students; and empowering the physician leaders of tomorrow.",https://www.instagram.com/bruinsamsa/,amsabruins@gmail.com,https://www.amsabruins.com/
