CLUB NAME,CLUB CATEGORIES,CLUB INSTAGRAM,CLUB CONTACT
"Academic, Mentorship, and Professional Development Project, The","AMPD provides MSA UCLA members services and resources to become stronger Muslim leaders in the academic and professional spheres through free textbook loans and study notes, peer and alumni...", ,"[<p class=""contact"">
<a href=""mailto:ampdacademics@gmail.com"">ampdacademics@gmail.com</a><br/>
</p>]"
Academy Health Student Chapter at UCLA,"In partnership with the health services research community, we strive to:  Provide peer support by:  - Creating opportunities for interaction among peers - Reaching out and connecting with other...", ,"[<p class=""contact"">
<a href=""http://www.studentgroups.ucla.edu/academyhealth"">http://www.studentgroups.ucla.edu/academyhealth</a><br/>
<a href=""mailto:uclaacademyhealth@gmail.com"">uclaacademyhealth@gmail.com</a><br/>
</p>]"
AI Robotics Ethics Society ,"As technology advances at an exponential rate, it is imperative that we begin thinking about how Artificial Intelligence (AI) will impact society at different levels of daily life, with a focus on...", ,"[<p class=""contact"">
<a href=""https://airesucla8.wixsite.com/mysite"">https://airesucla8.wixsite.com/mysite</a><br/>
<a href=""mailto:airesucla@gmail.com"">airesucla@gmail.com</a><br/>
</p>]"
Aleph: Undergraduate Research Journal for the Humanities and Social Sciences,"Aleph (pronounced “ah-lef”) is UCLA’s only official journal publishing undergraduate research in the humanities, social sciences, and behavioral sciences. Run by undergraduates who review...", ,"[<p class=""contact"">
<a href=""http://aleph.humanities.ucla.edu/"">http://aleph.humanities.ucla.edu/</a><br/>
<a href=""mailto:alephjournal@ucla.edu"">alephjournal@ucla.edu</a><br/>
</p>]"
"Alpha Chi Sigma, Beta Gamma Chapter",We are a professional and social fraternity for men and women in the chemical sciences. All members are bound by three fraternal objects:  To bind its members with a tie of true and lasting..., ,"[<p class=""contact"">
<a href=""http://www.chem.ucla.edu/axe/about.html"">http://www.chem.ucla.edu/axe/about.html</a><br/>
<a href=""mailto:axs.betagamma@gmail.com"">axs.betagamma@gmail.com</a><br/>
</p>]"
Alpha Lambda Delta Phi Eta Sigma,"The ALD|PES Honor Societies exist to promote academic integrity, excellence and community among students. Furthermore, ALD|PES strives to encourage community service and support philanthropic events...", ,"[<p class=""contact"">
<a href=""http://uclaaldpes.com"">http://uclaaldpes.com</a><br/>
<a href=""mailto:aldpes.president@gmail.com"">aldpes.president@gmail.com</a><br/>
</p>]"
American Association of Neurological Surgeons,DGSOM Medical Student Chapter of the American Association of Neurological Surgeons (AANS). Focused on promoting students' interest in pursuing a career in neurological surgery. , ,"[<p class=""contact"">
<a href=""mailto:aans.dgsom@gmail.com"">aans.dgsom@gmail.com</a><br/>
</p>]"
American Institute of Chemical Engineers,The American Institute of Chemical Engineers (AIChE) is a professional organization for chemical engineers. AIChE was established in 1908 with the purpose of establishing chemical engineers as a..., ,"[<p class=""contact"">
<a href=""http://aiche.seas.ucla.edu/"">http://aiche.seas.ucla.edu/</a><br/>
<a href=""mailto:aiche@ucla.edu"">aiche@ucla.edu</a><br/>
</p>]"
American Lung Cancer Screening Initiative," Here at the American Lung Cancer Screening Initiative, it is our mission to spread awareness about the importance of lung cancer screening for high-risk...", ,"[<p class=""contact"">
<a href=""https://www.alcsi.org/screening"">https://www.alcsi.org/screening</a><br/>
<a href=""mailto:uclaalcsi@gmail.com"">uclaalcsi@gmail.com</a><br/>
</p>]"
American Medical Student Association (AMSA),"The American Medical Student Association, Premedical Chapter at UCLA, is committed to improving health care and healthcare delivery to all people; involving its members in the social, moral and...", ,"[<p class=""contact"">
<a href=""https://www.amsabruins.com/"">https://www.amsabruins.com/</a><br/>
<a href=""mailto:amsabruins@gmail.com"">amsabruins@gmail.com</a><br/>
</p>]"
