CLUB NAME,CLUB DESCRIPTIONS,CLUB INSTAGRAM,CLUB EMAIL,CLUB WEBSITE,CLUB PHOTOS
,,,,,
Act III Theater Ensemble,"Act III Theatre Ensemble is dedicated to providing quality theatre to the student body while giving students a chance to work on a professional level before entering the working theatre community.  Our productions are completely student produced, directed, and cast.",https://www.instagram.com/actiiitheatrensemble/?hl=en,actiiite@gmail.com,https://actiiite.wixsite.com/info,images/0.jpg
,,,,,
Active Listening Club,"Active Listening Club is devoted to the exploration and appreciation of all musics. We gather to share, listen, and learn about the music that our members are passionate about and broaden the scope of our listening. We encourage concert and event attendance at performances on and off campus.", ,activelisteningclubatucla@gmail.com, ,images/1.jpg
,,,,,
Awaken A Cappella,"In 1992, Awaken was established as UCLA's first a cappella group and Southern California's oldest co-ed collegiate a cappella group. Former members include nine-time Grammy-nominated singer-songwriter Sara Bareilles, Hamilton star Joanna Jones, actress Nicolette Robinson who recently became the lead of the Broadway musical Waitress, and members of the award-winning group ARORA. Awaken performs at both on-campus and off-campus events such as UCLA Spring Sing, UCLA Dance Marathon, AIDS Walk Los Angeles, The West Coast A Cappella Showcase, The International Championship of Collegiate A Cappella, and other festivals and competitions around the West Coast.",https://www.instagram.com/awakenacappella/,uclawaken@gmail.com,https://uclawaken.com/,images/2.jpg
,,,,,
AweChords A Cappella,"AweChords A Cappella is a co-ed group at UCLA that strives to share their passion for music with the greater Los Angeles community. _x000D_
_x000D_
AweChords was founded in 2006 as a musical component in UCLA’s annual Vietnamese Culture Night. In 2010, they began to diversify their sound and regrouped to form AweChords A Cappella. Their repertoire ranges from pop to rock to show tunes, and they are constantly working on new pieces to share with their audiences.",https://www.instagram.com/awechords/,awechords@gmail.com,http://awechords.com,images/3.jpg
,,,,,
Beatboxing Bruins,"Beatboxing Bruins seeks to be the UCLA hub for beatboxing as musical expression. The organization plans to hold trainings, jams, performances, and overall cultivate a vibrant UCLA beatbox culture.",https://www.instagram.com/beatboxing_bruins,beatboxingbruins@gmail.com, ,images/4.jpg
,,,,,
Bruin All Student Artist Consulting Club,"Bruin-all Student Artist Consulting Club is a student-led agency at UCLA dedicated to empowering emerging music artists. Our mission is to bridge the gap between artists and their aspirations by offering tailored consultation and strategic marketing solutions. Collaborating closely with artists and their teams, we aim to understand their unique visions and objectives. Drawing from the diverse talents and expertise of our members, Bruin BassLine crafts comprehensive marketing plans designed to amplify the artist's voice and elevate their presence in the music industry. As consultants, we not only provide actionable insights but also foster a community of passionate individuals committed to the growth and success of the artists we serve.", ,mgmt@bruinsac.com, , 
,,,,,
Bruin Chamber Musicians,"A space for students looking to meet like-minded individuals and form classical chamber music groups—piano trio, piano quartet, string quartet etc... all instruments and skill-levels are welcome! We aim to make small ensemble playing and performance more accessible to non-music majors and casual musicians at UCLA.",https://www.instagram.com/bruinchambermusicians/,bruinchambermusicians@gmail.com,https://discord.gg/j2B97qbVKm,images/5.jpg
,,,,,
Bruin Harmony,"Bruin Harmony is the only all-male a cappella group at UCLA. We sing all types of music, from the classics, to pop, rap, and jazz (and yes, even you, yule-tide christmas jingles). More importantly, Bruin Harmony takes pride in being a talented, fun-loving group of musicians who genuinely enjoy performing, and who work hard to make a cappella an entertaining, sought after endeavor at UCLA.", ,bruinharmony@gmail.com,http://www.bruinharmony.com,images/6.jpg
,,,,,
Bruins Piano Together,"Our club strives to create a space specifically for piano players to convene, connect, play together, and perform. What differentiates our club from other music clubs is that we provide a stage for solo pianists. We also provide resources like an array of sheet music and host communal activities to bond as a family.", ,bruinspianotogether@gmail.com, , 
,,,,,
BuildABand@UCLA,"We are an organization aimed at bringing together like-minded musicians to form bands. Musicians who would be interested in being in a pop, pop rock or contemporary R&amp;B band are all welcome! Our goal is to enable individual musicians to find a band, in which they can jam, practice covers and produce original music. We also aim to provide our bands with opportunities to perform, both on-campus and off-campus. Musicians who join us can look forward to meeting new people, creating excellent music, and most importantly, having a great time!", ,buildabandatucla@gmail.com, , 
,,,,,
